Design,Sample,Recipe,Area,Delay,QoR
simple_spi_orig,131,"b; b; st; f; st; rs; rwz; rs; rf; b; rwz; rfz; f; rwz; rs; rs; rwz; rfz; rwz; rs;",535.60,181.94,96835
simple_spi_orig,132,"st; rw; rwz; rs; rs; st; rw; rwz; rw; rf; f; rf; rs; st; f; rf; b; st; b; f;",542.65,192.43,104064
simple_spi_orig,133,"b; rw; rwz; st; rw; rs; rwz; rw; rwz; rf; rfz; rw; rf; rfz; f; rwz; rf; f; rfz; rfz;",565.47,189.19,106785
simple_spi_orig,134,"st; rw; rwz; rfz; rfz; rwz; rw; st; b; rw; b; rf; st; rf; b; rw; f; f; rfz; rwz;",558.49,176.65,98208
simple_spi_orig,135,"b; f; rfz; rs; rw; st; rw; rf; rw; rfz; rw; rw; st; rw; rfz; rf; rfz; st; f; st;",547.65,193.83,105571
simple_spi_orig,136,"b; b; rfz; rwz; b; st; rs; st; rw; rf; st; st; rw; f; rs; rwz; b; rw; rs; b;",531.34,189.99,100359
simple_spi_orig,137,"b; rw; rwz; rs; rw; f; rwz; b; rwz; st; rwz; f; b; rfz; rfz; rw; rwz; rwz; rf; f;",553.74,183.29,101199
simple_spi_orig,138,"b; b; rw; f; rwz; rwz; rs; b; b; f; rf; rf; rfz; st; rf; rw; rfz; rw; rs; rw;",544.06,193.50,104992
simple_spi_orig,139,"b; rfz; rw; b; rf; rwz; b; b; rw; rwz; rwz; rf; rf; rs; b; rwz; st; rf; rf; rs;",545.15,195.52,106275
simple_spi_orig,140,"st; rw; st; b; rw; f; st; rfz; rf; b; st; b; rs; b; rf; b; rwz; f; rfz; rwz;",537.79,183.29,98271
simple_spi_orig,141,"b; f; rs; b; rw; b; rf; rs; f; rw; rw; rf; rwz; st; rfz; rw; st; rw; rf; rw;",564.29,190.25,107160
simple_spi_orig,142,"st; rw; st; rfz; rwz; rwz; rwz; st; rf; rwz; rw; rfz; st; rwz; st; b; rwz; rwz; rw; rs;",546.58,180.87,98280
simple_spi_orig,143,"st; rf; rfz; f; b; rfz; f; rw; b; b; st; rf; rf; b; b; st; rfz; rfz; rfz; st;",553.91,203.11,112259
simple_spi_orig,144,"b; rs; rs; f; f; rf; rf; rwz; rwz; rwz; rwz; rw; rw; rfz; rf; rwz; b; rf; b; rfz;",573.55,180.07,103140
simple_spi_orig,145,"st; rw; st; rf; f; rw; rwz; st; rfz; rwz; st; rwz; f; b; rs; rwz; rs; f; f; st;",555.30,185.18,102675
simple_spi_orig,146,"st; st; b; rwz; rwz; rf; st; rf; rfz; rs; rs; b; f; f; rwz; rf; rw; st; f; rf;",547.00,202.05,110494
simple_spi_orig,147,"b; st; rs; rs; st; b; rw; rw; rf; rfz; rwz; rs; f; rfz; st; rfz; f; f; f; st;",557.16,185.97,103045
simple_spi_orig,148,"st; rf; rfz; rfz; b; f; st; rw; rs; st; rw; rf; rfz; rfz; rw; st; rfz; rfz; rs; f;",541.97,203.04,109823
simple_spi_orig,149,"st; rf; f; rs; rf; b; b; rfz; rfz; rs; rw; f; rfz; f; rs; st; rs; b; b; b;",554.75,203.04,112462
simple_spi_orig,150,"st; rfz; rf; rw; b; f; rf; st; b; rf; st; rwz; rs; rf; rw; rs; f; rw; rwz; rs;",527.92,202.19,106454
simple_spi_orig,151,"b; f; b; rwz; rw; rf; f; rfz; rf; st; rs; rf; b; f; rw; st; b; rwz; rfz; rfz;",564.18,183.29,103212
simple_spi_orig,152,"st; rf; rf; rfz; rs; rs; st; rs; rw; st; rs; f; rw; rf; rs; rf; rwz; f; st; rwz;",529.81,202.19,106858
simple_spi_orig,153,"b; rw; st; b; rf; rwz; rwz; rfz; rf; rs; rwz; rwz; rw; st; rfz; b; f; rs; rs; b;",557.57,182.65,101374
simple_spi_orig,154,"b; st; rs; st; rwz; rf; st; st; rfz; b; rw; b; rfz; rs; f; b; rfz; rwz; rf; st;",550.81,185.97,101750
simple_spi_orig,155,"st; rf; rf; f; rf; rf; st; rs; rw; rw; rw; b; st; rf; rf; rf; rfz; st; b; b;",544.94,203.11,110432
simple_spi_orig,156,"st; f; rw; rs; st; f; rs; b; rwz; rs; rf; b; rw; rs; rf; f; f; rwz; rfz; rf;",569.96,190.46,108110
simple_spi_orig,157,"st; rf; st; b; rf; rfz; rw; f; b; rf; rw; f; rfz; rwz; rfz; b; f; rfz; rfz; rfz;",538.01,203.04,109214
simple_spi_orig,158,"b; rw; rf; rwz; st; rs; b; rs; rs; st; rwz; b; st; rfz; rw; b; rwz; rf; rw; st;",559.86,183.71,102297
simple_spi_orig,159,"st; rw; rf; rfz; rs; rw; b; rfz; st; rs; rf; rs; rwz; f; rs; b; b; rf; rfz; rw;",562.65,185.97,103970
simple_spi_orig,160,"st; rfz; b; f; rw; b; rs; rfz; rf; rw; rs; rw; b; rfz; rs; f; rs; rwz; rfz; rfz;",534.01,201.86,107334
simple_spi_orig,161,"b; rs; rw; b; rwz; f; rfz; rf; rfz; rs; st; rf; st; st; f; f; b; f; b; rwz;",537.80,183.29,98271
