Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
pci_orig.bench,223,11768.86,427.91,5024936
pci_orig.bench,224,11620.02,434.41,5043080
pci_orig.bench,225,11980.52,431.07,5163380
pci_orig.bench,226,12050.89,424.94,5109200
pci_orig.bench,227,11512.02,436.66,5019232
pci_orig.bench,228,11576.34,443.81,5128168
pci_orig.bench,229,11876.17,421.26,4999796
pci_orig.bench,230,11619.06,429.19,4984551
pci_orig.bench,231,11274.25,467.48,5264958
pci_orig.bench,232,11907.03,424.89,5048568
pci_orig.bench,233,11989.33,451.36,5407039
pci_orig.bench,234,11815.23,409.68,4832335
pci_orig.bench,235,11701.57,471.41,5511171
pci_orig.bench,236,11433.27,632.25,7225656
pci_orig.bench,237,11245.31,619.23,6960655
pci_orig.bench,238,11237.23,515.26,5787055
pci_orig.bench,239,11333.49,624.23,7071792
pci_orig.bench,240,11711.41,419.18,4906909
pci_orig.bench,241,12303.42,425.45,5228775
pci_orig.bench,242,11930.56,437.62,5213410
pci_orig.bench,243,11221.58,480.72,5386080
pci_orig.bench,244,11847.34,448.35,5307456
pci_orig.bench,245,11593.87,422.09,4892246
pci_orig.bench,246,12025.47,426.28,5122650
pci_orig.bench,247,11633.32,450.37,5234850
pci_orig.bench,248,11380.41,442.20,5029960
pci_orig.bench,249,11842.46,417.65,4938114
pci_orig.bench,250,11627.79,450.52,5232150
pci_orig.bench,251,11827.03,433.70,5121091
pci_orig.bench,252,11706.00,424.55,4963344
pci_orig.bench,253,11411.61,630.09,7188930
pci_orig.bench,254,11899.30,428.60,5092772
pci_orig.bench,255,11336.67,441.18,4999176
pci_orig.bench,256,11818.15,445.18,5259010
pci_orig.bench,257,11609.64,408.90,4736472
pci_orig.bench,258,11502.21,416.21,4784832
pci_orig.bench,259,11289.83,623.37,7033047
pci_orig.bench,260,11614.71,478.28,5551492
pci_orig.bench,261,11819.95,402.98,4751238
pci_orig.bench,262,11926.17,416.95,4961216
pci_orig.bench,263,11870.10,427.93,5068490
pci_orig.bench,264,11890.85,427.80,5077030
pci_orig.bench,265,11867.43,430.59,5102810
pci_orig.bench,266,12056.52,438.39,5280528
pci_orig.bench,267,11597.42,442.41,5125874
pci_orig.bench,268,11838.39,442.55,5232396
pci_orig.bench,269,11906.36,417.45,4964802
pci_orig.bench,270,11840.47,426.40,5043840
pci_orig.bench,271,11349.47,627.45,7115823
pci_orig.bench,272,11697.26,425.83,4971225
pci_orig.bench,273,11270.20,571.48,6435170
pci_orig.bench,274,11420.37,628.68,7171760
pci_orig.bench,275,11663.75,436.52,5085068
pci_orig.bench,276,11170.12,628.08,7014760
pci_orig.bench,277,11799.05,478.28,5639922
pci_orig.bench,278,11635.64,429.17,4991415
pci_orig.bench,279,11494.03,441.50,5068854
pci_orig.bench,280,12211.15,437.15,5336207
pci_orig.bench,281,11107.26,636.26,7064052
pci_orig.bench,282,11548.45,468.30,5404464
pci_orig.bench,283,11818.31,443.25,5235374
pci_orig.bench,284,11663.38,405.99,4723515
pci_orig.bench,285,11796.58,408.98,4812768
pci_orig.bench,286,11687.13,421.38,4920227
pci_orig.bench,287,11686.06,485.68,5667710
pci_orig.bench,288,11804.39,435.36,5134740
pci_orig.bench,289,11803.73,450.54,5311350
pci_orig.bench,290,11555.20,429.19,4957095
pci_orig.bench,291,11519.19,635.01,7314565
pci_orig.bench,292,11344.74,450.22,5104800
pci_orig.bench,293,11723.02,444.78,5205012
pci_orig.bench,294,11906.84,433.89,5155298
